2024-08-22 16:53:08 | main_v1.py | <module> | 62 | DEBUG - 处理键 msg_17a755177f4ad1f1d99bf8042cfbb74a 对应的用户ID: 17a755177f4ad1f1d99bf8042cfbb74a
2024-08-22 16:53:08 | /home/hezp1/AI/app_weichat/interact/admin_interact.py | adminInteract | 250 | DEBUG - 管理员 17a755177f4ad1f1d99bf8042cfbb74a 收到消息: 你好
2024-08-22 16:53:15 | /home/hezp1/AI/app_weichat/interact/admin_interact.py | adminInteract | 351 | ERROR - JSON decode error: Expecting value: line 1 column 1 (char 0)
2024-08-22 16:55:26 | main_v1.py | <module> | 62 | DEBUG - 处理键 msg_16bd52abceae57867cfaa7e4bb9adab4 对应的用户ID: 16bd52abceae57867cfaa7e4bb9adab4
2024-08-22 16:55:26 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 113 | DEBUG - Processing key: msg_16bd52abceae57867cfaa7e4bb9adab4
2024-08-22 16:55:26 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 117 | INFO - User msg_16bd52abceae57867cfaa7e4bb9adab4 said: 请帮我审批任务10039217
2024-08-22 16:55:33 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 119 | INFO - -------> getData: {"tasks_id":["10039217"]}
2024-08-22 16:55:33 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusInteract | 132 | DEBUG - tasks_id:['10039217']
2024-08-22 16:55:33 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 80 | DEBUG - Checking ID: 10039217
2024-08-22 16:55:33 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 82 | DEBUG - Task info combine: developer='yuangl1' sourceTables=None source_table_name=None taskId='10039217' taskType='34' taskName='ZJtest_wenan' truncate_sql='' select_sql='' insert_sql='' source_database_name=None ignore_empty_datasource='hive' db_table_name='SYS_BRANCH_HIS' db_database_name='AUDIT_SIT' cycleNum='1' cycleUnit='D' startDate='2024-08-22 01:00:00' retriable='1' selfDepend='2' taskPriority='5' inCharge='yuangl1,huangyr' topicName='dctrl' unSuccessOverTime='01:00' aitTables=None taskDesc='测试采集数据提示文案' field_json=None runOverTime='0' approval_comment='' exec_script_type=None exec_script_path=None exec_user_name=None hive_sql_file_name=None project_name=None project_version=None applicant='yuangl1' applicant_time='' file_storage_format=None hive_table_name='pty_scr_dept' hive_database='dwd' collection_tool_type=None spark_package_name=None program_execute_entrance=None program_execute_params=None brokerIp='any' serverTag=None endDate=None taskAction='no action at this time' tryLimit='3' delayTime='0' startupTime='60' aliveWait='30' status='W' taskGroup=None notes=None createTime='2024-08-22 16:26:42' lastUpdate='2024-08-22 16:26:42' oldId=None sourceServer='hive' targetServer='10.5.97.81-AUDIT_SIT-audit_sit' moduleName='' scheduleType='0' dataType='0' updateBy=None upddateDate='2024-08-22 16:26:42' unRunOverTime='0' advanceInit='0' exeEnvironment='0' task_relation='' monitorPlatform_access='' approval='' approval_status='W' version_timestamp=None timeout_early_warning='0' data_date_type='0' skip_festival=None exec_script_parms='${YYYYMMDD}' skip_weeken=None unsuccessful_early_warning='01:00' approval_result='' relational_table=None horaeAlert_check_lines=None hive_type_check=None relational_database=None hive_partition_value=''
2024-08-22 16:55:33 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 89 | DEBUG - ------------msg_list=[None, None, '请求任务审批者需是任务开发者或任务负责人。']
2024-08-22 16:55:33 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusMsg | 38 | DEBUG - Processing task_id: 10039217 with messages: [None, None, '请求任务审批者需是任务开发者或任务负责人。']
2024-08-22 16:55:33 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusMsg | 49 | INFO - Task 10039217 passed the check.
2024-08-22 16:55:33 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 100 | DEBUG - combined_ad: [], combined_msgs: ['任务10039217通过规则检测，已通知管理员进行审批。', '请解决以上存在的问题后再做尝试。\n']
2024-08-22 16:55:33 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusInteract | 134 | DEBUG - combined_msgs: ['任务10039217通过规则检测，已通知管理员进行审批。', '请解决以上存在的问题后再做尝试。\n'], combined_ad: None
2024-08-22 17:00:16 | main_v1.py | <module> | 62 | DEBUG - 处理键 msg_16bd52abceae57867cfaa7e4bb9adab4 对应的用户ID: 16bd52abceae57867cfaa7e4bb9adab4
2024-08-22 17:00:16 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 112 | DEBUG - Processing key: msg_16bd52abceae57867cfaa7e4bb9adab4
2024-08-22 17:00:16 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 116 | INFO - User msg_16bd52abceae57867cfaa7e4bb9adab4 said: 请帮我审批任务10039217
2024-08-22 17:00:23 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 118 | INFO - -------> getData: {"tasks_id":["10039217"]}
2024-08-22 17:00:23 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusInteract | 131 | DEBUG - tasks_id:['10039217']
2024-08-22 17:00:23 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 79 | DEBUG - Checking ID: 10039217
2024-08-22 17:00:23 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 81 | DEBUG - Task info combine: developer='yuangl1' sourceTables=None source_table_name=None taskId='10039217' taskType='34' taskName='ZJtest_wenan' truncate_sql='' select_sql='' insert_sql='' source_database_name=None ignore_empty_datasource='hive' db_table_name='SYS_BRANCH_HIS' db_database_name='AUDIT_SIT' cycleNum='1' cycleUnit='D' startDate='2024-08-22 01:00:00' retriable='1' selfDepend='2' taskPriority='5' inCharge='yuangl1,huangyr' topicName='dctrl' unSuccessOverTime='01:00' aitTables=None taskDesc='测试采集数据提示文案' field_json=None runOverTime='0' approval_comment='' exec_script_type=None exec_script_path=None exec_user_name=None hive_sql_file_name=None project_name=None project_version=None applicant='yuangl1' applicant_time='' file_storage_format=None hive_table_name='pty_scr_dept' hive_database='dwd' collection_tool_type=None spark_package_name=None program_execute_entrance=None program_execute_params=None brokerIp='any' serverTag=None endDate=None taskAction='no action at this time' tryLimit='3' delayTime='0' startupTime='60' aliveWait='30' status='W' taskGroup=None notes=None createTime='2024-08-22 16:26:42' lastUpdate='2024-08-22 16:26:42' oldId=None sourceServer='hive' targetServer='10.5.97.81-AUDIT_SIT-audit_sit' moduleName='' scheduleType='0' dataType='0' updateBy=None upddateDate='2024-08-22 16:26:42' unRunOverTime='0' advanceInit='0' exeEnvironment='0' task_relation='' monitorPlatform_access='' approval='' approval_status='W' version_timestamp=None timeout_early_warning='0' data_date_type='0' skip_festival=None exec_script_parms='${YYYYMMDD}' skip_weeken=None unsuccessful_early_warning='01:00' approval_result='' relational_table=None horaeAlert_check_lines=None hive_type_check=None relational_database=None hive_partition_value=''
2024-08-22 17:00:23 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 88 | DEBUG - ------------msg_list=[None, None, '请求任务审批者需是任务开发者或任务负责人。']
2024-08-22 17:00:23 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusMsg | 38 | DEBUG - Processing task_id: 10039217 with messages: [None, None, '请求任务审批者需是任务开发者或任务负责人。']
2024-08-22 17:00:23 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusMsg | 60 | WARNING - Task 10039217 has issues: ['请求任务审批者需是任务开发者或任务负责人。']
2024-08-22 17:00:23 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 99 | DEBUG - combined_ad: [], combined_msgs: ['任务10039217存在的以下问题：\n1. 请求任务审批者需是任务开发者或任务负责人。\n\n 请解决以上问题后再做尝试。', '请解决以上存在的问题后再做尝试。\n']
2024-08-22 17:00:23 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusInteract | 133 | DEBUG - combined_msgs: ['任务10039217存在的以下问题：\n1. 请求任务审批者需是任务开发者或任务负责人。\n\n 请解决以上问题后再做尝试。', '请解决以上存在的问题后再做尝试。\n'], combined_ad: None
2024-08-22 17:01:03 | main_v1.py | <module> | 62 | DEBUG - 处理键 msg_16bd52abceae57867cfaa7e4bb9adab4 对应的用户ID: 16bd52abceae57867cfaa7e4bb9adab4
2024-08-22 17:01:03 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 111 | DEBUG - Processing key: msg_16bd52abceae57867cfaa7e4bb9adab4
2024-08-22 17:01:03 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 115 | INFO - User msg_16bd52abceae57867cfaa7e4bb9adab4 said: 请帮我审批任务10039217
2024-08-22 17:01:09 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 117 | INFO - -------> getData: {"tasks_id":["10039217"]}
2024-08-22 17:01:09 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusInteract | 130 | DEBUG - tasks_id:['10039217']
2024-08-22 17:01:09 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 78 | DEBUG - Checking ID: 10039217
2024-08-22 17:01:10 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 80 | DEBUG - Task info combine: developer='yuangl1' sourceTables=None source_table_name=None taskId='10039217' taskType='34' taskName='ZJtest_wenan' truncate_sql='' select_sql='' insert_sql='' source_database_name=None ignore_empty_datasource='hive' db_table_name='SYS_BRANCH_HIS' db_database_name='AUDIT_SIT' cycleNum='1' cycleUnit='D' startDate='2024-08-22 01:00:00' retriable='1' selfDepend='2' taskPriority='5' inCharge='yuangl1,huangyr' topicName='dctrl' unSuccessOverTime='01:00' aitTables=None taskDesc='测试采集数据提示文案' field_json=None runOverTime='0' approval_comment='' exec_script_type=None exec_script_path=None exec_user_name=None hive_sql_file_name=None project_name=None project_version=None applicant='yuangl1' applicant_time='' file_storage_format=None hive_table_name='pty_scr_dept' hive_database='dwd' collection_tool_type=None spark_package_name=None program_execute_entrance=None program_execute_params=None brokerIp='any' serverTag=None endDate=None taskAction='no action at this time' tryLimit='3' delayTime='0' startupTime='60' aliveWait='30' status='W' taskGroup=None notes=None createTime='2024-08-22 16:26:42' lastUpdate='2024-08-22 16:26:42' oldId=None sourceServer='hive' targetServer='10.5.97.81-AUDIT_SIT-audit_sit' moduleName='' scheduleType='0' dataType='0' updateBy=None upddateDate='2024-08-22 16:26:42' unRunOverTime='0' advanceInit='0' exeEnvironment='0' task_relation='' monitorPlatform_access='' approval='' approval_status='W' version_timestamp=None timeout_early_warning='0' data_date_type='0' skip_festival=None exec_script_parms='${YYYYMMDD}' skip_weeken=None unsuccessful_early_warning='01:00' approval_result='' relational_table=None horaeAlert_check_lines=None hive_type_check=None relational_database=None hive_partition_value=''
2024-08-22 17:01:10 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 87 | DEBUG - ------------msg_list=[None, None, '请求任务审批者需是任务开发者或任务负责人。']
2024-08-22 17:01:10 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusMsg | 38 | DEBUG - Processing task_id: 10039217 with messages: [None, None, '请求任务审批者需是任务开发者或任务负责人。']
2024-08-22 17:01:10 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusMsg | 59 | WARNING - Task 10039217 has issues: ['请求任务审批者需是任务开发者或任务负责人。']
2024-08-22 17:01:10 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 98 | DEBUG - combined_ad: [], combined_msgs: ['任务10039217存在的以下问题：\n1. 请求任务审批者需是任务开发者或任务负责人。', '请解决以上存在的问题后再做尝试。\n']
2024-08-22 17:01:10 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusInteract | 132 | DEBUG - combined_msgs: ['任务10039217存在的以下问题：\n1. 请求任务审批者需是任务开发者或任务负责人。', '请解决以上存在的问题后再做尝试。\n'], combined_ad: None
2024-08-22 17:01:48 | main_v1.py | <module> | 62 | DEBUG - 处理键 msg_16bd52abceae57867cfaa7e4bb9adab4 对应的用户ID: 16bd52abceae57867cfaa7e4bb9adab4
2024-08-22 17:01:48 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 111 | DEBUG - Processing key: msg_16bd52abceae57867cfaa7e4bb9adab4
2024-08-22 17:01:48 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 115 | INFO - User msg_16bd52abceae57867cfaa7e4bb9adab4 said: 请审批任务10039112
2024-08-22 17:01:54 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | getData | 117 | INFO - -------> getData: {"tasks_id":["10039112"]}
2024-08-22 17:01:54 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusInteract | 130 | DEBUG - tasks_id:['10039112']
2024-08-22 17:01:54 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 78 | DEBUG - Checking ID: 10039112
2024-08-22 17:01:55 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 80 | DEBUG - Task info combine: developer='zhangxs1' sourceTables=None source_table_name=None taskId='10039112' taskType='53' taskName='test50819' truncate_sql=None select_sql=None insert_sql=None source_database_name=None ignore_empty_datasource='' db_table_name=None db_database_name=None cycleNum='1' cycleUnit='D' startDate='2024-08-19 00:00:00' retriable='1' selfDepend='2' taskPriority='5' inCharge='zhangxs1,yuangl1' topicName='dm_rb' unSuccessOverTime='00:00' aitTables=None taskDesc='eee' field_json=None runOverTime='0' approval_comment='' exec_script_type='shell' exec_script_path='/home/horae/projects/test_测试项目/1eeeee' exec_user_name='eeee.zip' hive_sql_file_name=None project_name='test_测试项目' project_version='1' applicant='zhangxs1' applicant_time='' file_storage_format=None hive_table_name=None hive_database=None collection_tool_type=None spark_package_name=None program_execute_entrance=None program_execute_params=None brokerIp='any' serverTag=None endDate=None taskAction='no action at this time' tryLimit='3' delayTime='0' startupTime='0' aliveWait='30' status='W' taskGroup=None notes=None createTime='2024-08-19 15:35:54' lastUpdate='2024-08-19 15:35:53' oldId=None sourceServer=None targetServer=None moduleName='' scheduleType='0' dataType='0' updateBy=None upddateDate='2024-08-19 15:35:54' unRunOverTime='0' advanceInit='0' exeEnvironment='0' task_relation='' monitorPlatform_access='' approval='' approval_status='W' version_timestamp='' timeout_early_warning='0' data_date_type='0' skip_festival=None exec_script_parms='${YYYYMMDD}' skip_weeken=None unsuccessful_early_warning='00:00' approval_result='' relational_table=None horaeAlert_check_lines=None hive_type_check=None relational_database=None hive_partition_value=None
2024-08-22 17:01:55 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | checkId | 87 | DEBUG - ------------msg_list=[None, None, None]
2024-08-22 17:01:55 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusMsg | 38 | DEBUG - Processing task_id: 10039112 with messages: [None, None, None]
2024-08-22 17:01:55 | /home/hezp1/AI/app_weichat/interact/cus_interact.py | cusMsg | 48 | INFO - Task 10039112 passed the check.
