2024-08-26 09:15:47 | /home/hezp1/AI/app_weichat/interaction_handler/cus_interact_handle.py | check_task_id | 82 | DEBUG - Task info combine: developer='zhangxs1' sourceTables='' source_table_name=None taskId='10039229' taskType='53' taskName='testtest2222' truncate_sql=None select_sql=None insert_sql=None source_database_name=None ignore_empty_datasource='' db_table_name=None db_database_name=None cycleNum='1' cycleUnit='D' startDate='2024-08-26 00:00:00' retriable='1' selfDepend='2' taskPriority='5' inCharge='zhangxs1,yuangl01' topicName='wesley' unSuccessOverTime='00:00' aitTables='' taskDesc='22222222' field_json=None runOverTime='0' approval_comment='' exec_script_type='python' exec_script_path='/home/horae/projects/测试部署1001/122222222222' exec_user_name='222222222.zip' hive_sql_file_name=None project_name='测试部署1001' project_version='1' applicant='zhangxs1' applicant_time='' file_storage_format=None hive_table_name=None hive_database=None collection_tool_type=None spark_package_name=None program_execute_entrance=None program_execute_params=None brokerIp='any' serverTag=None endDate=None taskAction='no action at this time' tryLimit='3' delayTime='0' startupTime='0' aliveWait='30' status='W' taskGroup=None notes=None createTime='2024-08-26 09:11:49' lastUpdate='2024-08-26 09:11:49' oldId=None sourceServer=None targetServer=None moduleName='' scheduleType='0' dataType='0' updateBy=None upddateDate='2024-08-26 09:11:49' unRunOverTime='0' advanceInit='0' exeEnvironment='0' task_relation='' monitorPlatform_access='' approval='' approval_status='W' version_timestamp='' timeout_early_warning='0' data_date_type='0' skip_festival=None exec_script_parms='${YYYYMMDD}' skip_weeken=None unsuccessful_early_warning='00:00' approval_result='' relational_table=None horaeAlert_check_lines=None hive_type_check=None relational_database=None hive_partition_value=None
2024-08-26 09:15:47 | /home/hezp1/AI/app_weichat/interaction_handler/cus_interact_handle.py | check_task_id | 89 | DEBUG - ------------msg_list=[None, None, None]
2024-08-26 09:15:47 | /home/hezp1/AI/app_weichat/interaction_handler/cus_interact_handle.py | send_cus_msg | 38 | DEBUG - Processing task_id: 10039229 with messages: [None, None, None]
2024-08-26 09:15:47 | /home/hezp1/AI/app_weichat/interaction_handler/cus_interact_handle.py | check_task_id | 100 | DEBUG - combined_ad: [], combined_msgs: ['任务10039229已经通知管理员进行审批，无需重复申请。', '请解决以上存在的问题后再做尝试。\n']
2024-08-26 09:15:47 | /home/hezp1/AI/app_weichat/interaction_handler/cus_interact_handle.py | cus_interact | 134 | DEBUG - combined_msgs: ['任务10039229已经通知管理员进行审批，无需重复申请。', '请解决以上存在的问题后再做尝试。\n'], combined_ad: None
2024-08-26 09:15:47 | /home/hezp1/AI/app_weichat/chat/wechat_client.py | send_text | 85 | DEBUG - urls https://wxw-sit.axzq.com.cn/cgi-bin/message/send
2024-08-26 09:15:47 | /home/hezp1/AI/app_weichat/chat/wechat_client.py | send_text | 89 | DEBUG - send to 16bd52abceae57867cfaa7e4bb9adab4 ok
2024-08-26 09:15:47 | /home/hezp1/AI/app_weichat/chat/wechat_client.py | send_text | 90 | DEBUG - {"errcode":0,"errmsg":"ok","jobid":"4_1724634947_958885"}
2024-08-26 09:38:12 | msg_handler.py | <module> | 64 | DEBUG - 处理键 msg_17a755177f4ad1f1d99bf8042cfbb74a 对应的用户ID: 17a755177f4ad1f1d99bf8042cfbb74a
2024-08-26 09:38:12 | /home/hezp1/AI/app_weichat/interaction_handler/admin_interact_handle.py | admin_interact | 250 | DEBUG - 管理员 17a755177f4ad1f1d99bf8042cfbb74a 收到消息: 审批通过任务10039229
2024-08-26 09:38:23 | /home/hezp1/AI/app_weichat/interaction_handler/admin_interact_handle.py | admin_interact | 266 | DEBUG - 解析消息结果: tasks_id=['10039229'], category=accept, names=['10039229']
2024-08-26 09:38:23 | /home/hezp1/AI/app_weichat/interaction_handler/admin_interact_handle.py | admin_interact | 270 | DEBUG - defaultdict(<class 'list'>, {'16bd52abceae57867cfaa7e4bb9adab4': ['10039229']})
2024-08-26 09:38:23 | /home/hezp1/AI/app_weichat/interaction_handler/admin_interact_handle.py | approve_pending_tasks | 131 | DEBUG - 管理员 17a755177f4ad1f1d99bf8042cfbb74a 请求审批任务: ['10039229'], 审批状态: 通过
2024-08-26 09:38:23 | /home/hezp1/AI/app_weichat/interaction_handler/admin_interact_handle.py | approve_pending_tasks | 152 | DEBUG - 任务 10039229 关联的用户ID: ['16bd52abceae57867cfaa7e4bb9adab4']
2024-08-26 09:38:24 | /home/hezp1/AI/app_weichat/scheduler/schedule_handle.py | approval | 102 | DEBUG - payload: {'approvalComment': '审批通过', 'approvalResult': 'APPROVAL_PASSED', 'taskId': '10039229'}
2024-08-26 09:38:24 | /home/hezp1/AI/app_weichat/scheduler/schedule_handle.py | approval | 104 | DEBUG - response: {'code': 0, 'message': '操作成功！', 'data': 1}
2024-08-26 09:38:24 | /home/hezp1/AI/app_weichat/interaction_handler/admin_interact_handle.py | approve_pending_tasks | 160 | INFO - 任务 10039229 已审批通过。
2024-08-26 09:38:24 | /home/hezp1/AI/app_weichat/chat/wechat_client.py | send_text | 85 | DEBUG - urls https://wxw-sit.axzq.com.cn/cgi-bin/message/send
2024-08-26 09:38:24 | /home/hezp1/AI/app_weichat/chat/wechat_client.py | send_text | 89 | DEBUG - send to 17a755177f4ad1f1d99bf8042cfbb74a|1730846d950e0a5709ac2ea44138df09 ok
2024-08-26 09:38:24 | /home/hezp1/AI/app_weichat/chat/wechat_client.py | send_text | 90 | DEBUG - {"errcode":0,"errmsg":"ok","jobid":"4_1724636304_141709"}
2024-08-26 09:38:24 | /home/hezp1/AI/app_weichat/interaction_handler/admin_interact_handle.py | admin_interact | 294 | DEBUG - {'16bd52abceae57867cfaa7e4bb9adab4': {'10039229': '通过'}}
2024-08-26 09:38:24 | /home/hezp1/AI/app_weichat/interaction_handler/admin_interact_handle.py | print_task_status | 187 | DEBUG - 生成输出，用户任务状态: {'16bd52abceae57867cfaa7e4bb9adab4': {'10039229': '通过'}}
2024-08-26 09:38:24 | /home/hezp1/AI/app_weichat/chat/wechat_client.py | send_text | 85 | DEBUG - urls https://wxw-sit.axzq.com.cn/cgi-bin/message/send
